time_s,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.004682000000000297,0.007801313464647562,0.0008954021021669626,0.00028696161195089167,0.0030646900170590444,0.0036637643744277413,0.19881975574771635,4.939391746506125e-07,4.977368097411066e-08,0.0,0.7854675689691757
0.004683000000000297,0.00780114128522124,0.0008953608645341131,0.00028694876618265614,0.0030646185551169965,0.0036636903697130586,0.19882001537654173,4.939224137809646e-07,4.977258920466336e-08,0.0,0.7854676810876873
0.004684000000000297,0.00780096925227167,0.0008953196630947376,0.0002869359316820216,0.0030645471540892157,0.00366361642790768,0.19882027478375497,4.939056674274269e-07,4.977149836454785e-08,0.0,0.7854677931100338
0.004685000000000297,0.0078007973656688614,0.0008952784978148467,0.000286923108438419,0.0030644758139214373,0.003663542548955862,0.1988205339695541,4.938889355766839e-07,4.977040845293755e-08,0.0,0.7854679050363025
0.0046860000000002976,0.0078006256252829255,0.0008952373686604843,0.00028691029644129006,0.0030644045345594446,0.00366346873280191,0.19882079293413682,4.938722182154334e-07,4.9769319469006596e-08,0.0,0.7854680168665795
0.004687000000000298,0.00780045403098411,0.00089519627559773,0.0002868974956800872,0.003064333315949075,0.0036633949793901796,0.19882105167770064,4.938555153303865e-07,4.9768231411929933e-08,0.0,0.7854681286009515
0.004688000000000298,0.007800282582642781,0.0008951552185926979,0.0002868847061442739,0.0030642621580362146,0.0036633212886650816,0.198821310200443,4.938388269082675e-07,4.9767144280883243e-08,0.0,0.7854682402395048
0.004689000000000298,0.007800111280129422,0.0008951141976115374,0.0002868719278233243,0.0030641910607668034,0.003663247660571078,0.19882156850256102,4.938221529358135e-07,4.9766058075042986e-08,0.0,0.7854683517823258
0.004690000000000298,0.007799940123314648,0.0008950732126204326,0.00028685916070672347,0.0030641200240868324,0.003663174095052684,0.1988218265842517,4.93805493399775e-07,4.9764972793586386e-08,0.0,0.7854684632295008
0.004691000000000298,0.007799769112076756,0.0008950322635881812,0.00028684640478464477,0.003064049047945684,0.003663100592057451,0.19882208444570004,4.937888482882632e-07,4.9763888435842046e-08,0.0,0.7854685745811104
0.004692000000000298,0.007799598246296349,0.0008949913504843593,0.0002868336600474676,0.0030639781322937556,0.003663027151533845,0.19882234208708757,4.937722175897905e-07,4.976280500118266e-08,0.0,0.7854686858372341
0.0046930000000002985,0.0077994275258289,0.0008949504732699709,0.0002868209264833211,0.003063907277070347,0.003662953773420417,0.1988225995086347,4.937556012883862e-07,4.9761722488479245e-08,0.0,0.7854687969979686
0.004694000000000299,0.007799256950545571,0.0008949096319113606,0.00028680820408173897,0.0030638364822216813,0.003662880457661914,0.19882285671053765,4.937389993708647e-07,4.9760640896913396e-08,0.0,0.7854689080633999
0.004695000000000299,0.007799086520317651,0.0008948688263749087,0.0002867954928322661,0.0030637657476940347,0.003662807204203134,0.19882311369299235,4.937224118240543e-07,4.97595602256675e-08,0.0,0.7854690190336135
0.004696000000000299,0.007798916235016548,0.0008948280566270301,0.00028678279272445814,0.003063695073433736,0.003662734012988931,0.19882337045619458,4.93705838634796e-07,4.9758480473924717e-08,0.0,0.7854691299086956
0.004697000000000299,0.007798746094513792,0.0008947873226341751,0.0002867701037478813,0.003063624459387164,0.0036626608839642086,0.1988236270003399,4.93689279789944e-07,4.9757401640869005e-08,0.0,0.7854692406887316
0.004698000000000299,0.007798576098681036,0.0008947466243628274,0.0002867574258921128,0.0030635539055007483,0.003662587817073921,0.19882388332562365,4.936727352763661e-07,4.975632372568506e-08,0.0,0.7854693513738067
0.004699000000000299,0.007798406247390058,0.000894705961779507,0.00028674475914674055,0.0030634834117209716,0.0036625148122630775,0.19882413943224103,4.936562050809431e-07,4.975524672755842e-08,0.0,0.7854694619640068
